Geração 51: Fitnesse Médio= 31805.6479, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 52: Fitnesse Médio= 31736.5131, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 53: Fitnesse Médio= 31786.7657, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 54: Fitnesse Médio= 31729.5600, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 55: Fitnesse Médio= 31513.2035, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 56: Fitnesse Médio= 31539.1917, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 57: Fitnesse Médio= 31813.1422, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 58: Fitnesse Médio= 31907.6350, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 59: Fitnesse Médio= 31793.6942, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 60: Fitnesse Médio= 31837.1216, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 61: Fitnesse Médio= 31625.5254, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 62: Fitnesse Médio= 31645.6568, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 63: Fitnesse Médio= 31495.2306, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 64: Fitnesse Médio= 31859.2365, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 65: Fitnesse Médio= 31603.2623, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 66: Fitnesse Médio= 31639.8499, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 67: Fitnesse Médio= 31837.5500, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 68: Fitnesse Médio= 31532.8704, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 69: Fitnesse Médio= 31991.8277, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 70: Fitnesse Médio= 31639.5718, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 71: Fitnesse Médio= 31621.5680, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 72: Fitnesse Médio= 31855.4873, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 73: Fitnesse Médio= 31559.9172, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
